,company,role,rating,reviews_count,extra_info,post_age,ref
0,SAP Labs India Pvt. Ltd.,AI Cyber-security and Compliance Engineer,3,"(1.4k, Reviews)","['4-8 Yrs', 'Bengaluru/Bangalore', 'SOC, Artificial Intelligence, Data protection, +4 more']",2d ago, naukri.com
1,Intel Technology India Pvt Ltd,Graphics Performance Verification Engineer,3,"(762, Reviews)","['3-6 Yrs', 'Bengaluru/Bangalore', 'Graphics, Simulation, SOC, +7 more']",1d ago, naukri.com
2,SAP Labs India Pvt. Ltd.,AI Cyber-security & Penetration Testing Specialist,3,"(1.4k, Reviews)","['4-8 Yrs', 'Bengaluru/Bangalore', 'AI integration, ML security, Penetration Testing, +3 more']",4d ago, naukri.com
3,Ford,Machine Learning Engineer,4,"(2.7k, Reviews)","['4-9 Yrs', 'Chennai, Sholinganallur', 'GCP, Deployment, Machine Learning, +1 more']",9d ago, naukri.com
4,SAP Labs India Pvt. Ltd.,"Full Stack Software Developer - Python, GenAI",3,"(1.4k, Reviews)","['3-8 Yrs', 'Bengaluru/Bangalore', 'Azure, software development, neural networks, +10 more']",5d ago, naukri.com
5,IBM India Pvt. Limited,Principal Data Scientist,1,"(18.8k, Reviews)","['10-12 Yrs', 'Bengaluru/Bangalore', 'model validation, PyTorch, BigQuery, +8 more']",2d ago, naukri.com
6,IBM India Pvt. Limited,Sr. Software Developer,1,"(18.8k, Reviews)","['6-8 Yrs', 'â‚¹ 6.5 - 21L/yr (AmbitionBox estimate)', 'Bengaluru/Bangalore', 'API Management, Unix, Java, +17 more']",2d ago, naukri.com
7,Shell India Markets Private Limited,AI Data Scientist,4,"(1.6k, Reviews)","['6-10 Yrs', 'Bengaluru/Bangalore', 'Deep learning, Java, C++, +7 more']",3d ago, naukri.com
8,SAP Labs India Pvt. Ltd.,Business Processes Consultant - Process Automation / iRPA (ASC),3,"(1.4k, Reviews)","['2-4 Yrs', 'Bengaluru/Bangalore', 'OData, REST, Process Automation, +8 more']",8d ago, naukri.com
9,Intel Technology India Pvt Ltd,AI Software Development Engineer,3,"(762, Reviews)","['4-6 Yrs', 'Bengaluru/Bangalore, Bengaluru/Bangalore, Karnataka', 'Computer science, deep learning, Neural networks, +4 more']",7d ago, naukri.com
